Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
2020-01-01,47.112213134765625,,61.102996826171875,65.05529022216797,113.70919036865234,54.54999923706055,,62.1511116027832,154.60000610351562,123.8499984741211,55.599998474121094,,63.426666259765625,155.14999389648438,124.32499694824219,54.150001525878906,,62.0444450378418,151.4499969482422,123.0999984741211,55.04999923706055,,62.75555419921875,152.8000030517578,123.25,4807629,,844886,14266524,2827732
2020-01-02,47.63040542602539,,61.70598602294922,67.0961685180664,113.98461151123047,55.150001525878906,,62.764442443847656,159.4499969482422,124.1500015258789,55.45000076293945,,63.23555374145508,159.85000610351562,124.94999694824219,54.45000076293945,,62.119998931884766,155.3000030517578,123.17500305175781,54.45000076293945,,62.4577751159668,155.3000030517578,123.30000305175781,5754393,,1154295,17137897,2887932
2020-01-03,47.28494644165039,,61.38264465332031,66.38079833984375,115.26998901367188,54.75,,62.43555450439453,157.75,125.55000305175781,55.5,,63.06666564941406,160.89999389648438,126.3499984741211,54.349998474121094,,62.1422233581543,156.6999969482422,123.67500305175781,55.099998474121094,,62.586666107177734,158.39999389648438,124.75,5525524,,1022658,12108687,6762808
2020-01-06,45.730369567871094,,61.15979766845703,63.35105895996094,115.75198364257812,52.95000076293945,,62.20888900756836,150.5500030517578,126.07499694824219,54.29999923706055,,62.400001525878906,157.6999969482422,127.2249984741211,52.79999923706055,,60.86666488647461,150.0500030517578,125.07499694824219,54.150001525878906,,62.400001525878906,156.89999389648438,125.5,5204531,,754357,11218355,9133390
2020-01-07,45.514461517333984,,60.596134185791016,65.64440155029297,117.15213012695312,52.70000076293945,,61.635555267333984,156.0,127.5999984741211,54.29999923706055,,62.599998474121094,156.8000030517578,128.1750030517578,52.25,,61.31111145019531,152.5500030517578,125.0999984741211,53.599998474121094,,61.87111282348633,152.8000030517578,126.625,5527537,,1285447,24417974,8805574
2020-01-08,44.86671829223633,,61.40011978149414,66.21248626708984,116.96851348876953,51.95000076293945,,62.45333480834961,157.35000610351562,127.4000015258789,52.599998474121094,,63.11111068725586,158.1999969482422,128.0749969482422,51.0,,61.0444450378418,152.4499969482422,126.2750015258789,51.900001525878906,,61.33333206176758,153.25,127.0,4490512,,1729383,18095375,5588820
2020-01-09,45.384910583496094,,62.54930114746094,66.54912567138672,116.44058227539062,52.54999923706055,,63.622222900390625,158.14999389648438,126.82499694824219,53.400001525878906,,64.17778015136719,160.1999969482422,128.25,52.25,,62.6533317565918,157.39999389648438,126.32499694824219,52.900001525878906,,62.93333435058594,159.39999389648438,127.125,5088100,,1669297,11725302,4990046
2020-01-10,45.471275329589844,,64.21844482421875,67.30655670166016,115.56837463378906,52.650001525878906,,65.31999969482422,159.9499969482422,125.875,53.45000076293945,,66.22222137451172,163.3000030517578,127.5999984741211,52.29999923706055,,63.64444351196289,157.60000610351562,125.5,52.45000076293945,,63.64444351196289,159.5,126.9749984741211,4761614,,3552547,20995863,4113154
2020-01-13,45.384910583496094,,64.2665023803711,67.51696014404297,116.96851348876953,52.54999923706055,,65.36888885498047,160.4499969482422,127.4000015258789,53.29999923706055,,66.63555145263672,161.4499969482422,128.9499969482422,52.150001525878906,,65.03555297851562,158.25,126.42500305175781,53.29999923706055,,65.9022216796875,160.5,127.0,3714041,,1591571,9331492,13927198
2020-01-14,45.34172821044922,,64.32768249511719,69.43159484863281,118.07025909423828,52.5,,65.43111419677734,165.0,128.60000610351562,52.95000076293945,,65.95555877685547,166.10000610351562,129.1750030517578,51.849998474121094,,64.0,161.0,127.2750015258789,52.25,,65.77777862548828,161.39999389648438,128.4250030517578,3239557,,1017450,19728091,14593554
2020-01-15,45.471275329589844,,64.60733032226562,69.28430938720703,113.961669921875,52.650001525878906,,65.7155532836914,164.64999389648438,124.125,52.900001525878906,,67.09333038330078,165.4499969482422,128.0,52.20000076293945,,65.0,161.8000030517578,123.30000305175781,52.5,,65.56444549560547,165.0,127.0,2829991,,2232135,11633598,20280902
2020-01-16,45.557640075683594,,65.11419677734375,68.2743911743164,114.9715805053711,52.75,,66.23110961914062,162.25,125.2249984741211,53.150001525878906,,66.84444427490234,163.6999969482422,126.30000305175781,52.400001525878906,,64.84888458251953,160.39999389648438,123.5,52.79999923706055,,65.86666870117188,162.89999389648438,124.0,3704771,,801078,11990967,17623672
2020-01-17,45.42809295654297,,65.69096374511719,67.11720275878906,115.26998901367188,52.599998474121094,,66.81777954101562,159.5,125.55000305175781,53.099998474121094,,67.9111099243164,162.6999969482422,126.94999694824219,52.20000076293945,,66.34666442871094,159.0,124.82499694824219,52.5,,66.34666442871094,162.6999969482422,126.0,3655362,,2139345,9518702,8281636
2020-01-20,44.9099006652832,,66.54302978515625,66.02311706542969,113.84690856933594,52.0,,67.68444061279297,156.89999389648438,124.0,52.849998474121094,,68.53333282470703,159.89999389648438,125.4000015258789,51.599998474121094,,66.26666259765625,156.1999969482422,123.5999984741211,52.75,,66.75555419921875,159.35000610351562,125.4000015258789,2391889,,2075006,7944434,3817166
2020-01-21,44.69398880004883,,68.8719482421875,64.76073455810547,113.43374633789062,51.75,,70.05332946777344,153.89999389648438,123.55000305175781,52.29999923706055,,70.4000015258789,158.39999389648438,124.0999984741211,51.5,,67.7155532836914,153.5500030517578,123.0,51.79999923706055,,67.82221984863281,157.0,123.94999694824219,2308022,,4740390,10481008,3015884
2020-01-22,44.47807312011719,,69.43562316894531,64.4661865234375,112.85992431640625,51.5,,70.62666320800781,153.1999969482422,122.92500305175781,52.20000076293945,,71.46666717529297,158.25,125.9749984741211,51.29999923706055,,69.07111358642578,152.8000030517578,122.69999694824219,52.0,,70.64888763427734,155.85000610351562,124.30000305175781,1736721,,3885120,15503961,6800848
